codigo_negocio,nombre_patrimonio,codigo_entidad,nombre_subtipo_patrimonio,fmin,fmax,n,anio
76989,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA AVANZAR 30 DIAS,62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1244,2019
72413,FONDO DE CAPITAL PRIVADO FONDO PLENTIA INVERSIONES,97,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60509,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ADCAP MULTIPLAZOS,9,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
13263,FONDO DE CAPITAL PRIVADO PROGRESA CAPITAL EN LIQUIDACIÓN,31,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
69940,FCP DEUDA INFRAESTRUCTURA COLOMBIA,31,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59078,FONDO DE INVERSIÓN COLECTIVA DIVERSIFICADO MODERADO,26,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
80042,FONDO DE CAPITAL NEXUS INMOBILIARIO - COMPARTIMENTO INMUEBLES BANCO DE BOGOTÁ,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58439,FONDO DE INVERSION COLECTIVA CERRADO DENOMINADO ESPARTA 180,62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
70843,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALTARENTA,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
87505,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANECIA ESPARTA RENTA DISTRIBUTIVA,62,FIC DE TIPO GENERAL,2019-08-21T00:00:00.000,2019-12-31T00:00:00.000,133,2019
83110,FONDO DE CAPITAL PRIVADO CO-INVERSION EQUITY INFRAESTRUCTURA COLOMBIA EN LIQUIDACION,31,FONDOS DE CAPITAL PRIVADO,2019-04-23T00:00:00.000,2019-12-31T00:00:00.000,491,2019
60117,FONDO DE INVERSION COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA PERFIL CONSERVADOR,62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
73585,FCP - VALOR FORESTAL - CAUCHO 04 (EN LIQUIDACIÓN),38,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
