codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
59741,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA FIJA PLUS,FIC DE TIPO GENERAL,94261824434.01001,1520,2,9.362706,803,19364.887805,RF_LARGO,94.3
130584,Fiduaval,FONDO DE INVERSION COLECTIVA INMOBILIARIO RENTA MAS,FIC INMOBILIARIAS,93283387341.48999,244,2,6.551246,501,15927.61867,SIN_CLASIFICAR,93.3
78886,Corredores Davivienda S.A.Comisionista De Bolsa,FONDO DE INVERSIÓN COLECTIVA RENTA FIJA LARGO PLAZO,FIC DE TIPO GENERAL,93141797917.79001,717,2,8.605279,501,16172.243443,RF_LARGO,93.1
114986,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDUCUENTA DÓLARES,FIC DE TIPO GENERAL,91258823595.42,1179,2,-8.910146,801,8647.842471,INTL_OTRO,91.3
60275,Servivalores Gnb Sudameris S.A. Comisionista De Bolsa. Antes Sumavalores,FONDO DE INVERSION COLECTIVA ABIERTO RENTAVAL,FIC DE TIPO GENERAL,91006221212.22,547,1,8.318547,800,6290.23111,SIN_CLASIFICAR,91.0
122582,Corredores Davivienda S.A.Comisionista De Bolsa,FONDO DE INVERSIÓN COLECTIVA CERRADO NOTA ESTRUCTURADA ORO CON CAPITAL PROTEGIDO,FIC DE TIPO GENERAL,90773105891.79001,339,2,2.725822,502,12612.271616,SIN_CLASIFICAR,90.8
51959,Skandia Fiduciaria S.A.,FONDO DE INVERSIÓN COLECTIVA SKANDIA MULTIPLAZO,FIC DE TIPO GENERAL,84456925145.68982,244,11,8.863408,534,14176.283206,RF_LARGO,84.5
76989,Fiduciaria Coomeva S.A.,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA AVANZAR 30 DIAS,FIC DE TIPO GENERAL,84267004289.70999,448,6,4.583609,505,10288.317518,RF_LARGO,84.3
121640,Progresion Scb,FONDO DE INVERSION COLECTIVA CERRADO CREDIT OPPORTUNITIES FUND TITULOS VALORES,FIC DE TIPO GENERAL,83467027102.07,1213,1,9.579292,101,30767.206343,SIN_CLASIFICAR,83.5
135406,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSION COLECTIVA RENTA FIJA VIII,FIC DE TIPO GENERAL,83442494929.49,550,1,0.0,800,10521.8799,RF_LARGO,83.4
